Pot 2 hum, Pot 1 hum, rel hum, Temp, Pressure, Pot 3 hum, timestamp
0.6148439, 0.5907225, 51.96, 22.45, 1006.34, 0.3675624, 2023-16-15 21:11:08
0.6132326, 0.5907225, 51.95, 22.45, 1006.34, 0.3637537, 2023-16-15 21:11:10
0.6197787, 0.594287, 51.96, 22.45, 1006.33, 0.3628748, 2023-16-15 21:11:12
0.6177737, 0.5922361, 51.98, 22.45, 1006.31, 0.3638514, 2023-16-15 21:11:14
0.6106447, 0.5920409, 52.0, 22.45, 1006.29, 0.36766, 2023-16-15 21:11:16
0.6106966, 0.5940429, 51.99, 22.46, 1006.33, 0.363949, 2023-16-15 21:11:18
0.6209537, 0.5990234, 51.99, 22.45, 1006.34, 0.3643885, 2023-16-15 21:11:20
0.6165041, 0.5914549, 51.98, 22.46, 1006.36, 0.3621424, 2023-16-15 21:11:22
0.6168978, 0.5994141, 51.95, 22.46, 1006.27, 0.3637537, 2023-16-15 21:11:24
0.6141603, 0.5915526, 51.95, 22.46, 1006.29, 0.3647303, 2023-16-15 21:11:26
0.6192386, 0.5864256, 51.97, 22.47, 1006.34, 0.3659022, 2023-16-15 21:11:28
0.6184573, 0.5848631, 51.95, 22.45, 1006.31, 0.3665858, 2023-16-15 21:11:34
